Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-12-07 12:06:15.032,0.398971,0.589844,0.651812,1496.50903,-1.404747,-1.23899,-1.047196,24.812604,2.001,5056.189,84.26981666666667
2021-12-07 12:06:17.031,0.399207,0.589466,0.65132,1496.157776,-1.384009,-1.242206,-1.052972,24.805778,1.999,5058.188,84.30313333333334
2021-12-07 12:06:19.032,0.398524,0.589419,0.650778,1493.878167,-1.387947,-1.250344,-1.047787,24.808403,2.001,5060.189,84.33648333333333
2021-12-07 12:06:21.031,0.399286,0.589792,0.651959,1495.349187,-1.406781,-1.231575,-1.057434,24.809913,1.999,5062.188,84.3698
2021-12-07 12:06:23.031,0.398297,0.58832,0.650462,1494.629635,-1.401825,-1.245402,-1.062953,24.809091,2.0,5064.188,84.40313333333333
2021-12-07 12:06:25.032,0.398093,0.587998,0.650249,1491.982324,-1.398679,-1.233897,-1.063401,24.822149,2.001,5066.189,84.43648333333334
2021-12-07 12:06:27.032,0.399105,0.589529,0.651522,1494.026683,-1.374165,-1.237743,-1.063013,24.825272,2.0,5068.189,84.46981666666667
2021-12-07 12:06:29.030,0.39966,0.590571,0.651804,1494.794736,-1.402285,-1.229381,-1.06223,24.838576,1.998,5070.187,84.50311666666667
2021-12-07 12:06:31.031,0.399638,0.590009,0.652152,1496.167206,-1.379219,-1.223831,-1.069117,24.844897,2.001,5072.188,84.53646666666667
2021-12-07 12:06:33.032,0.40099,0.591398,0.652871,1497.050566,-1.396646,-1.247147,-1.081834,24.846357,2.001,5074.189,84.56981666666667
2021-12-07 12:06:35.031,0.399644,0.590398,0.653059,1497.025956,-1.38935,-1.237523,-1.080944,24.837131,1.999,5076.188,84.60313333333333
2021-12-07 12:06:37.030,0.399063,0.588899,0.650732,1495.580212,-1.411571,-1.236628,-1.084015,24.845028,1.999,5078.187,84.63645
2021-12-07 12:06:39.031,0.399593,0.589589,0.65161,1494.392081,-1.410521,-1.238597,-1.086968,24.842075,2.001,5080.188,84.6698
2021-12-07 12:06:41.030,0.400139,0.590125,0.651265,1493.526913,-1.392803,-1.239384,-1.088018,24.85087,1.999,5082.187,84.70311666666666
2021-12-07 12:06:43.031,0.399737,0.589382,0.650764,1493.295888,-1.405665,-1.236168,-1.088215,24.847719,2.001,5084.188,84.73646666666667
2021-12-07 12:06:45.030,0.400194,0.590474,0.652992,1495.523635,-1.39674,-1.223502,-1.082965,24.84621,1.999,5086.187,84.76978333333334
