Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s
2021-08-21 11:41:04.829,0.18514,0.002614,0.026212,400.255617,21.689145,-1.034424,-0.012457,0.375718,2.001
2021-08-21 11:41:06.828,0.185141,0.002461,0.026288,398.598265,21.690649,-1.038179,-0.015291,0.381871,1.999
2021-08-21 11:41:08.828,0.185572,0.002538,0.026549,399.083174,21.683859,-1.036924,-0.000583,0.379876,2.0
2021-08-21 11:41:10.828,0.1858,0.00253,0.026539,400.089786,21.685434,-1.028262,-0.007606,0.379089,2.0
2021-08-21 11:41:12.828,0.18485,0.002422,0.026287,398.512683,21.686812,-1.028196,0.007293,0.381255,2.0
2021-08-21 11:41:14.828,0.185937,0.002601,0.026356,398.361809,21.693834,-1.040403,0.000139,0.384011,2.0
2021-08-21 11:41:16.828,0.18469,0.002446,0.026245,398.043559,21.691734,-1.0469,-0.003011,0.385652,2.0
2021-08-21 11:41:18.828,0.185724,0.002456,0.026452,397.840822,21.688978,-1.048672,-0.005637,0.387228,2.0
2021-08-21 11:41:20.826,0.185881,0.002471,0.026528,399.776504,21.687329,-1.037925,-0.000647,0.384591,1.998
2021-08-21 11:41:22.828,0.185558,0.002434,0.026142,398.984703,21.687674,-1.028649,-0.005502,0.38081,2.002
2021-08-21 11:41:24.828,0.185777,0.002383,0.026622,399.674883,21.688059,-1.054972,0.006768,0.387031,2.0
2021-08-21 11:41:26.828,0.185265,0.002509,0.026613,398.152,21.685959,-1.048934,0.014118,0.385784,2.0
2021-08-21 11:41:28.826,0.185379,0.002463,0.026537,400.005401,21.69127,-1.054282,0.005923,0.389782,1.998
2021-08-21 11:41:30.826,0.185908,0.002438,0.026287,398.680058,21.69344,-1.042831,0.011756,0.392413,2.0
2021-08-21 11:41:32.826,0.185459,0.00237,0.026324,399.856403,21.691997,-1.053528,0.005718,0.391757,2.0
2021-08-21 11:41:34.826,0.185142,0.002388,0.026324,398.56926,21.695212,-1.044078,0.001583,0.393266,2.0
2021-08-21 11:41:36.826,0.185677,0.002346,0.026645,398.986521,21.692194,-1.055759,0.017794,0.395235,2.0
2021-08-21 11:41:38.826,0.185556,0.00238,0.02659,398.378311,21.693506,-1.044668,-0.002289,0.391035,2.0
2021-08-21 11:41:40.826,0.185698,0.002449,0.026379,398.08835,21.688584,-1.045193,0.015825,0.392544,2.0
2021-08-21 11:41:42.826,0.185165,0.002449,0.02619,398.331163,21.69285,-1.054644,0.014053,0.394316,2.0
2021-08-21 11:41:44.826,0.185816,0.002456,0.026264,398.922871,21.687862,-1.062913,0.012806,0.393069,2.0
2021-08-21 11:41:46.824,0.184893,0.00254,0.026133,399.507491,21.697379,-1.067355,0.012886,0.39806,1.998
2021-08-21 11:41:48.824,0.185659,0.002588,0.026535,398.168502,21.693309,-1.051494,0.00388,0.394907,2.0
2021-08-21 11:41:50.824,0.185829,0.002467,0.026085,399.057243,21.690619,-1.056678,0.015365,0.397533,2.0
2021-08-21 11:41:52.826,0.185794,0.00252,0.026418,399.248468,21.692984,-1.0731,0.025248,0.398252,2.002
2021-08-21 11:41:54.824,0.185137,0.002574,0.026275,398.775964,21.692518,-1.061443,0.00993,0.397403,1.998
2021-08-21 11:41:56.824,0.1851,0.002609,0.026232,397.59801,21.697575,-1.055891,0.003158,0.400092,2.0
2021-08-21 11:41:58.824,0.185254,0.002622,0.026117,397.989339,21.689962,-1.06521,0.02882,0.395038,2.0
2021-08-21 11:42:00.824,0.185724,0.002569,0.026255,398.394812,21.689962,-1.071051,0.017072,0.399764,2.0
2021-08-21 11:42:02.824,0.186074,0.002585,0.026507,399.86819,21.69029,-1.049919,0.021338,0.399699,2.0
2021-08-21 11:42:04.824,0.185349,0.002538,0.026177,398.970019,21.690881,-1.075907,0.03558,0.402258,2.0
2021-08-21 11:42:06.824,0.185604,0.002496,0.026392,398.347664,21.696525,-1.065341,0.017728,0.40495,2.0
2021-08-21 11:42:08.824,0.185275,0.002372,0.026296,398.199148,21.693309,-1.070263,0.020878,0.401471,2.0
2021-08-21 11:42:10.824,0.186126,0.002449,0.026209,398.390098,21.687862,-1.06626,0.031642,0.396876,2.0
2021-08-21 11:42:12.824,0.186155,0.00243,0.026066,398.552759,21.690881,-1.074791,0.015431,0.405081,2.0
2021-08-21 11:42:14.824,0.185698,0.002412,0.026195,398.533899,21.687337,-1.075841,0.021797,0.399502,2.0
2021-08-21 11:42:16.823,0.185921,0.002411,0.026343,397.935503,21.686906,-1.088869,0.038488,0.401966,1.999
2021-08-21 11:42:18.823,0.185703,0.002359,0.026163,398.031772,21.690553,-1.071576,0.01425,0.402652,2.0
2021-08-21 11:42:20.823,0.186281,0.002456,0.02636,397.722952,21.690947,-1.086539,0.02521,0.40449,2.0
2021-08-21 11:42:22.823,0.18579,0.002462,0.02625,397.515501,21.690815,-1.085423,0.030132,0.402652,2.0
2021-08-21 11:42:24.823,0.185787,0.002354,0.026278,397.979909,21.686287,-1.090214,0.031051,0.406131,2.0
2021-08-21 11:42:26.823,0.185493,0.002378,0.026094,397.529645,21.686287,-1.084701,0.031051,0.404753,2.0
2021-08-21 11:42:28.823,0.185451,0.002386,0.026144,397.532003,21.690684,-1.084045,0.010705,0.411448,2.0
