Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
19:01:19,712;383,493661;0,110452;0,127261;0,166494;-0,330443;-2,808324;-0,352696;24,103465
19:01:19,722;387,736988;0,106252;0,125686;0,16925;-0,120425;-2,55895;-0,103313;24,103465
19:01:19,732;386,794027;0,107302;0,118336;0,165575;-0,264812;-2,913323;-0,326445;24,090338
19:01:19,742;386,794027;0,108352;0,123586;0,168331;-0,041668;-2,532701;-0,090187;24,103465
19:01:19,752;385,851065;0,105202;0,122536;0,166494;-0,304191;-2,690199;-0,352696;24,103465
19:01:19,762;389,622912;0,104152;0,129362;0,170169;-0,081046;-2,440826;-0,050811;24,090338
19:01:19,772;387,736988;0,107827;0,123061;0,166494;-0,291065;-2,821448;-0,352696;24,103465
19:01:19,782;390,565873;0,120953;0,126211;0,16925;-0,094172;-2,5852;-0,077062;24,103465
19:01:19,792;385,851065;0,109927;0,121486;0,167413;-0,304191;-2,808324;-0,300194;24,050956
19:01:19,802;387,736988;0,112028;0,124636;0,168331;-0,094172;-2,506451;-0,090187;24,103465
19:01:19,812;386,322546;0,104677;0,120961;0,168331;-0,304191;-2,742699;-0,418323;24,103465
19:01:19,822;388,208469;0,113603;0,128312;0,166494;-0,094172;-2,61145;-0,142689;24,090338
19:01:19,832;387,265507;0,104152;0,125161;0,171087;-0,356695;-2,755824;-0,365821;24,12972
19:01:19,842;390,565873;0,113603;0,123061;0,16925;-0,054794;-2,453951;-0,063936;24,07721
19:01:19,852;386,794027;0,106777;0,119911;0,171087;-0,317317;-2,900198;-0,31332;24,103465
19:01:19,862;386,794027;0,112028;0,127261;0,171087;-0,06792;-2,493326;-0,063936;24,169102
19:01:19,872;387,265507;0,103627;0,120961;0,168331;-0,343569;-2,703324;-0,326445;24,116592
19:01:19,882;385,851065;0,114128;0,128312;0,171087;-0,06792;-2,414576;-0,090187;24,07721
19:01:19,892;386,322546;0,116753;0,125161;0,168331;-0,369821;-2,782074;-0,300194;24,037828
19:01:19,902;388,208469;0,120953;0,128837;0,173844;-0,06792;-2,624575;-0,077062;24,169102
19:01:19,912;385,379584;0,107827;0,124111;0,172006;-0,369821;-2,873948;-0,352696;24,07721
19:01:19,922;391,980316;0,108352;0,128837;0,170169;-0,06792;-2,467076;-0,129563;24,155974
19:01:19,932;387,265507;0,106777;0,124636;0,173844;-0,343569;-2,742699;-0,273943;24,037828
19:01:19,942;387,265507;0,104152;0,121486;0,172006;-0,028542;-2,519576;-0,077062;24,116592
19:01:19,952;385,851065;0,109402;0,123061;0,170169;-0,343569;-2,650825;-0,326445;24,050956
19:01:19,962;386,794027;0,108877;0,122536;0,167413;-0,054794;-2,467076;0,027942;24,037828
19:01:19,972;384,908103;0,114653;0,120961;0,172006;-0,343569;-2,821448;-0,33957;24,12972
19:01:19,982;385,851065;0,108352;0,128312;0,167413;-0,041668;-2,55895;-0,090187;24,090338
19:01:19,992;386,794027;0,112553;0,125161;0,171087;-0,356695;-2,755824;-0,326445;24,12972
19:01:20,002;389,151431;0,106777;0,126736;0,165575;-0,028542;-2,55895;-0,090187;24,103465
19:01:20,012;383,02218;0,108352;0,125161;0,170169;-0,330443;-2,847698;-0,273943;24,142847
19:01:20,022;388,208469;0,108877;0,127261;0,175681;-0,094172;-2,545825;-0,077062;24,064083
19:01:20,032;387,736988;0,110452;0,127787;0,172006;-0,317317;-2,677075;-0,392072;24,169102
19:01:20,042;387,265507;0,116228;0,126211;0,170169;-0,06792;-2,5852;-0,116438;24,07721
19:01:20,052;387,265507;0,109927;0,126211;0,170169;-0,330443;-2,913323;-0,392072;24,090338
19:01:20,062;384,436622;0,110452;0,129887;0,16925;-0,081046;-2,467076;-0,011435;24,116592
19:01:20,072;386,322546;0,119378;0,131987;0,166494;-0,330443;-2,677075;-0,326445;24,050956
19:01:20,082;386,322546;0,109927;0,128312;0,167413;-0,028542;-2,480201;0,014816;24,07721
19:01:20,092;390,565873;0,106777;0,122011;0,16925;-0,343569;-2,834573;-0,365821;24,090338
19:01:20,102;384,908103;0,110977;0,126211;0,166494;-0,015416;-2,545825;0,014816;24,12972
19:01:20,112;387,736988;0,109927;0,122536;0,171087;-0,356695;-2,703324;-0,365821;24,116592
19:01:20,122;386,794027;0,114128;0,128837;0,168331;0,023963;-2,6377;0,041067;24,090338
19:01:20,132;387,736988;0,105202;0,117286;0,171087;-0,382948;-2,768949;-0,392072;24,07721
19:01:20,142;386,794027;0,110977;0,125686;0,16925;-0,041668;-2,440826;-0,011435;24,024701
19:01:20,152;382,550699;0,110452;0,121486;0,166494;-0,369821;-2,755824;-0,352696;24,07721
19:01:20,162;388,208469;0,110452;0,123061;0,170169;-0,028542;-2,61145;-0,02456;24,07721
19:01:20,172;388,208469;0,107302;0,123061;0,16925;-0,369821;-2,900198;-0,33957;24,155974
19:01:20,182;390,565873;0,111503;0,122011;0,171087;-0,015416;-2,414576;0,001691;24,12972
19:01:20,192;383,965142;0,113078;0,127261;0,164656;-0,369821;-2,860823;-0,352696;24,12972
19:01:20,202;387,265507;0,113078;0,122536;0,16925;-0,06792;-2,624575;-0,02456;24,07721
19:01:20,212;386,322546;0,105202;0,117811;0,164656;-0,369821;-2,847698;-0,405198;24,064083
19:01:20,222;386,794027;0,108352;0,123061;0,166494;-0,06792;-2,440826;-0,037685;24,090338
19:01:20,232;385,851065;0,113078;0,119911;0,168331;-0,317317;-2,821448;-0,352696;24,090338
19:01:20,242;385,379584;0,110452;0,129887;0,171087;-0,015416;-2,55895;-0,077062;24,169102
19:01:20,252;384,436622;0,107827;0,122011;0,172006;-0,343569;-2,716449;-0,378947;24,07721
19:01:20,262;387,265507;0,119378;0,138287;0,166494;-0,054794;-2,572075;-0,063936;24,142847
19:01:20,272;383,02218;0,106777;0,124111;0,168331;-0,396074;-2,847698;-0,352696;24,090338
19:01:20,282;389,151431;0,112028;0,127787;0,168331;-0,015416;-2,506451;-0,02456;24,090338
19:01:20,292;386,794027;0,106777;0,124636;0,166494;-0,4092;-2,821448;-0,431448;24,090338
19:01:20,302;387,736988;0,117803;0,125686;0,167413;-0,028542;-2,532701;-0,037685;24,090338
19:01:20,312;387,265507;0,108877;0,118861;0,172006;-0,356695;-2,795199;-0,365821;24,090338
