Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m,Differential pressure (Mean),Pump to inlet DP,Total system DP,Relative_DP,Pressure_Ratio,Relative_Ratio_Dev,Plug_Label
2022-10-13 15:21:36.269,22.696093,-0.890576,23.179169,-1.542952,0.063168,0.073487,0.123534,0.943544,1.0,4681.0,78.01666666666667,0.010318999999999995,0.05004700000000001,0.060366,1.0057731237347862,0.20618206521739116,0.04364018522907409,0
2022-10-13 15:21:37.269,22.700819,-0.890576,23.170899,-1.554764,0.062721,0.072363,0.12223,0.844533,1.0,4682.0,78.03333333333333,0.009641999999999998,0.04986700000000001,0.059509000000000006,0.9914944309765993,0.19335044517526262,0.10315867804154133,0
2022-10-13 15:21:38.269,22.6999,-0.885982,23.176413,-1.55122,0.063782,0.072788,0.122211,0.891681,1.0,4683.0,78.05,0.009006,0.049422999999999995,0.058428999999999995,0.9735002790759668,0.1822191647782454,0.15479027484134245,0
2022-10-13 15:21:39.269,22.698981,-0.876532,23.179169,-1.556077,0.063966,0.07439,0.123883,0.632367,1.0,4684.0,78.06666666666666,0.010424000000000003,0.049492999999999995,0.059917,0.9982922216946158,0.2106113872388573,0.02309511219595728,0
2022-10-13 15:21:40.269,22.698194,-0.869838,23.175494,-1.566708,0.063483,0.073376,0.123029,0.91997,1.0,4685.0,78.08333333333333,0.009892999999999999,0.049653,0.059546,0.9921108972917135,0.19923873202561723,0.07584630770716838,0
2022-10-13 15:21:41.269,22.703575,-0.86695,23.175494,-1.564739,0.064375,0.074899,0.124462,0.995407,1.0,4686.0,78.1,0.010523999999999992,0.04956300000000001,0.060087,1.0011246344937894,0.21233153094988277,0.015116356531049369,0
2022-10-13 15:21:42.269,22.7041,-0.860387,23.175756,-1.573008,0.064002,0.074248,0.124977,0.731378,1.0,4687.0,78.11666666666666,0.010245999999999991,0.05072900000000001,0.060975,1.0159198260565316,0.20197122018529448,0.06317186937763974,0
2022-10-13 15:21:43.269,22.70515,-0.860256,23.180745,-1.574189,0.064128,0.074742,0.125133,0.91054,1.0,4688.0,78.13333333333334,0.010613999999999998,0.05039099999999999,0.06100499999999999,1.0164196636093268,0.2106286712176536,0.023014941775980624,0
2022-10-13 15:21:44.269,22.712632,-0.854218,23.183895,-1.57957,0.063976,0.074495,0.124563,0.882251,1.0,4689.0,78.15,0.010519,0.05006799999999999,0.06058699999999999,1.0094552603737117,0.21009007569554022,0.025513176106991553,0
2022-10-13 15:21:45.269,22.708169,-0.844506,23.185733,-1.58062,0.064328,0.074668,0.124774,0.745522,1.0,4690.0,78.16666666666667,0.010340000000000002,0.050106,0.060446,1.0071060238755738,0.2063583930388968,0.04282230205123172,0
